Iteración,Tiempo Lineal (ns),Tiempo Normal (ns)
0,3661353,12831
1,6518,10192
2,3642814,16319
3,16429,17767
4,14630,9044
5,3654946,12988
6,3644017,19673
7,432971,9234
8,6330,14847
9,3665663,13644
10,7896,11457
11,7367,13476
12,6495,13337
13,6968,7168
14,5970,17045
15,3526571,15151
16,7310,8997
17,3126592,14018
18,3667406,12405
19,3618117,12159
20,7400,9831
21,7231,13718
22,7941,10749
23,6548,13369
24,1323116,12561
25,3663338,15203
26,3199347,7927
27,3636214,12660
28,3466221,12966
29,6433,9131
30,6407,13485
31,1690625,11618
32,1098528,6993
33,6959,12617
34,3533262,8950
35,3641650,9739
36,327899,10863
37,3690508,13056
38,7278,12001
39,5618,11726
40,6412,11579
41,5798,12948
42,9125,12051
43,7532,12509
44,6829,10915
45,9566,12838
46,6032,12057
47,159934,6627
48,16992,17315
49,3564196,18880
